Название,Год выпуска,Длительность,Описание_перевод,Рейтинг,Страна,Жанр
Тёмный рыцарь: Возрождение легенды,2012,2h 44m,"Бэйн, внушительный террорист, нападает на Готэм-Сити и нарушает свой восьмилетний период мира. Это заставляет Брюса Уэйна выйти из скрытия и снова надеть накидку и капот Бэтмена.",8.4,"United States, United Kingdom","Action, Drama, Thriller"
Тайна Коко,2017,1h 45m,"Стремительный музыкант Мигель, столкнувшись с наследственным запретом своей семьи на музыку, входит в землю мертвых, чтобы найти своего пра-пра-дедушки, легендарного певца.",8.4,"United States, Mexico","Animation, Adventure, Drama"
Амадей,1984,2h 40m,"Жизнь, успех и проблемы Вольфганг Амадея Моцарта, как сказал Антонио Сальери, современный композитор, который глубоко завидовал таланту Моцарта и утверждал, что убил его.",8.4,"United States, France","Biography, Drama, Music"
История игрушек,1995,1h 21m,"Ковбойская кукла глубоко угрожает и завидует, когда новая фигура по борьбе с космосором вытесняет его в качестве лучшей игрушки в спальне мальчика.",8.3,United States,"Animation, Adventure, Comedy"
Мстители: Финал,2019,3h 1m,"После разрушительных событий Мтситетели: ВОЕННАЯ БОСКОНЕГЕАНА (2018) вселенная находится в руинах. С помощью оставшихся союзников Мстители собираются еще раз, чтобы обратить вспять действия Таноса и восстановить баланс во вселенную.",8.4,United States,"Action, Adventure, Sci-Fi"
Умница Уилл Хантинг,1997,2h 6m,"У Уилл Хантинг, уборщик в MIT, есть подарок для математики, но нуждается в помощи психолога, чтобы найти направление в его жизни.",8.3,United States,"Drama, Romance"
Олдбой,2003,2h 0m,"После того, как он был похищен и заключен в тюрьму в течение пятнадцати лет, Огал Дэ-су освобождается, только чтобы обнаружить, что он должен отследить своего похитителя за пять дней.",8.3,South Korea,"Action, Drama, Mystery"
"Доктор Стрейнджлав, или Как я научился не волноваться и полюбил атомную бомбу",1964,1h 35m,"Мраво неуравновешенная американская общая приказывает к приступу водородной бомбы на Советский Союз, инициируя путь к глобальному ядерному Холокосту, что военная комната, полная политиков и генералов, отчаянно пытается остановиться.",8.3,"United Kingdom, United States","Comedy, War"
Красота по-американски,1999,2h 2m,"Сексуально разочарованный пригородный отец имеет кризис в середине жизни после того, как он увлекся лучшим другом его дочери.",8.3,United States,Drama
Подводная лодка,1981,2h 29m,"Немецкая подводная лодка преследует холодные воды Северной Атлантики, когда ее молодая команда испытывает ужас и клаустрофобную жизнь подводного лодка во Второй мировой войне.",8.4,West Germany,"Drama, War"
Храброе сердце,1995,2h 58m,"Шотландский воин Уильям Уоллес ведет своих соотечественников в восстании, чтобы освободить свою родину от тирании короля Эдварда I из Англии.",8.3,United States,"Biography, Drama, War"
Принцесса Мононоке,1997,2h 13m,"Стремясь вылечить себя от проклятия, молодой воин Ашитака натыкается в конфликт между народом Железного Тауна и принцессой Мононоке, девушкой, воспитанной волками, которая не остановится ни перед чем, чтобы предотвратить разрушение ее дома.",8.3,Japan,"Animation, Adventure, Fantasy"
Твоё имя,2016,1h 46m,"Двое подростков имеют глубокую, волшебную связь, обнаружив, что они меняют тела. Все может стать еще сложнее, когда мальчик и девочка решают встретиться лично.",8.4,Japan,"Animation, Drama, Fantasy"
Рай и ад,1963,2h 23m,"Исполнительный директор обувной компании Yokohama становится жертвой вымогательства, когда сын его шофера похищен по ошибке и удерживается за выкуп.",8.4,Japan,"Crime, Drama, Mystery"
Три идиота,2009,2h 50m,"Двое друзей ищут своего давно потерянного спутника. Они возвращаются к своим студенческим дням и вспоминают воспоминания о своем другом, который вдохновил их думать иначе, даже когда остальной мир называл их «идиотами».",8.4,India,"Comedy, Drama"
Джокер,2019,2h 2m,"Артур Флек, клоун вечеринки и неудачный комик, ведет обнищавшую жизнь со своей больной матерью. Однако, когда общество избегает его и зафиксирует урод, он решает принять жизнь хаоса в Готэм -Сити.",8.3,"United States, Canada, Australia","Crime, Drama, Thriller"
Однажды в Америке,1984,3h 49m,"Бывший еврейский гангстер эпохи запрета возвращается в нижнюю восточную сторону Манхэттена 35 лет спустя, где он должен снова противостоять призракам и сожалениям о своей старой жизни.",8.3,"Italy, United States","Crime, Drama"
Капернаум,2018,2h 6m,"Отбывая пятилетний срок за насильственное преступление, 12-летний мальчик предъявляет иск своим родителям за пренебрежение.",8.4,"Lebanon, United States, France, Cyprus, Qatar, United Kingdom",Drama
Поющие под дождём,1952,1h 43m,"Звезда немой кино влюбляется в припевную девушку так же, как он и его бредовое ревнивое экранное партнер пытаются сделать трудный переход к говорящим картинкам в Голливуде 1920 -х годов.",8.3,United States,"Comedy, Musical, Romance"
Иди и смотри,1985,2h 22m,"Найдя старую винтовку, молодой мальчик присоединяется к советскому движению сопротивления против безжалостных немецких сил и испытывает ужасы Второй мировой войны.",8.3,Soviet Union,"Drama, Thriller, War"
Реквием по мечте,2000,1h 42m,"Утопии, вызванные наркотиками четырех жителей Кони-Айленда, разрушены, когда их пристрастия проходят глубоко.",8.3,United States,Drama
История игрушек: Большой побег,2010,1h 43m,"Игрушки ошибочно доставляются в дневной центр ухода, а не на чердаке прямо перед тем, как Энди уходит в колледж, и Вуди должен убедить других игрушек, что они не были брошены и вернуться домой.",8.3,United States,"Animation, Adventure, Comedy"
Звёздные войны. Эпизод 6: Возвращение джедая,1983,2h 11m,"После спасения Хана Соло из Джабба Хатта, повстанческий альянс пытается уничтожить вторую звезду смерти, в то время как Люк изо всех сил пытается помочь Дарту Вейдеру вернуться с темной стороны.",8.3,United States,"Action, Adventure, Fantasy"
Охота,2012,1h 55m,"Учитель живет одинокой жизнью, все время борясь за опеку своего сына. Его жизнь постепенно становится лучше, когда он находит любовь и получает хорошие новости от своего сына, но его новая удача будет жестоко разрушена невинной маленькой ложью.",8.3,"Denmark, Sweden, Belgium, France",Drama
Вечное сияние чистого разума,2004,1h 48m,"Когда их отношения становятся кислыми, пара проходит медицинскую процедуру, чтобы навсегда стираться друг от друга из их воспоминаний.",8.3,United States,"Drama, Romance, Sci-Fi"
Жить,1952,2h 23m,"Бюрократ пытается найти смысл в своей жизни после того, как обнаружит, что у него терминальный рак.",8.3,Japan,Drama
2001 год: Космическая одиссея,1968,2h 29m,"Когда на Луне раскрывается таинственный артефакт, космический корабль, укомплектованный двумя людьми, и один суперкомпьютер отправляется в Юпитер, чтобы найти его происхождение.",8.3,"United Kingdom, United States","Adventure, Sci-Fi"
Бешеные псы,1992,1h 39m,"Когда простой украшение ограблений идет ужасно неправильно, выжившие преступники начинают подозревать, что один из них - полицейский информатор.",8.3,United States,"Crime, Thriller"
Квартира,1960,2h 5m,"Манхэттенский страховой клерк пытается подняться в своей компании, позволяя ее руководителям использовать его квартиру для свидания, но офисная политика и его собственные романтические надежды усложняют вопросы.",8.3,United States,"Comedy, Drama, Romance"
Пожары,2010,2h 11m,"Близнецы отправятся на Ближний Восток, чтобы открыть для себя семейную историю и выполнить последние пожелания своей матери.",8.3,"Canada, France","Drama, Mystery, War"
Лоуренс Аравийский,1962,3h 47m,"История Т.Е. Лоуренс, английский офицер, который успешно объединился и руководил разнообразными, часто враждующими арабскими племенами во время Первой мировой войны, чтобы сражаться с турками.",8.3,"United Kingdom, United States","Adventure, Biography, Drama"
Лицо со шрамом,1983,2h 50m,"В 1980-х годах определенный кубинский иммигрант, настроенный на преступник, становится крупнейшим контрабандистом наркотиков в Майами и в конечном итоге отменен своей собственной наркоманией.",8.3,United States,"Crime, Drama"
Двойная страховка,1944,1h 47m,"Страховой представитель соблазняется недовольной домохозяйкой в ​​схему страхового мошенничества и убийства, которая вызывает подозрение его коллеги, следователя по претензиям.",8.3,United States,"Crime, Drama, Film-Noir"
На север через северо-запад,1959,2h 16m,"Руководитель по рекламе в Нью -Йорке идет в бегах после того, как его приняли за правительственный агент группой иностранных шпионов, и влюбляется в женщину, чьи лояльности он начинает сомневаться.",8.3,United States,"Adventure, Drama, Mystery"
Схватка,1995,2h 50m,"Группа высококлассных профессиональных воров начинает чувствовать жар от LAPD, когда они неосознанно оставляют словесную подсказку в своем последнем ограблении.",8.3,United States,"Action, Crime, Drama"
Гражданин Кейн,1941,1h 59m,"После смерти издательства магната Чарльза Фостера Кейна, журналисты пытаются раскрыть значение его последнего высказывания: «Роузбуд».",8.3,United States,"Drama, Mystery"
Вверх,2009,1h 36m,"78-летний Карл Фредриксен отправляется в Южную Америку в своем доме, оборудованном воздушными шарами, непреднамеренно взяв молодого устремления.",8.3,United States,"Animation, Adventure, Comedy"
М убийца,1931,1h 57m,"Когда полиция в немецком городе не может поймать убийца ребенка, другие преступники присоединяются к охоте.",8.3,Germany,"Crime, Mystery, Thriller"
Цельнометаллическая оболочка,1987,1h 56m,"Прагматичный морской пехотинец наблюдает за дегуманизирующими последствиями, которые война во Вьетнаме оказывает на своих собратьев -новобранцев от своих жестоких тренировок в кролическом лагере до кровавой улицы, борьбы с Хюэ.",8.2,"United Kingdom, United States","Drama, War"
Головокружение,1958,2h 8m,"Бывший детектив полиции Сан -Франциско жонглирует со своими личными демонами и становясь одержимой навязчиво красивой женщиной, которую он был нанят в Трейл, которая может быть глубоко обеспокоена.",8.3,United States,"Mystery, Romance, Thriller"
Амели,2001,2h 2m,"Несмотря на то, что молодая официантка Амели решает помочь людям найти счастье. Ее стремление распространять радость приводит ее в путешествие, во время которого она находит настоящую любовь.",8.3,"France, Germany","Comedy, Romance"
Заводной апельсин,1971,2h 16m,Алекс Деярдж и его Droogs варварся разлагаются в ближайшее время.,8.2,"United Kingdom, United States","Crime, Sci-Fi"
Развод Надера и Симин,2011,2h 3m,"Супружеская пара сталкивается с трудным решением - улучшить жизнь своего ребенка, переехав в другую страну или остаться в Иране и присматривать за ухудшением родителей, у которого болезнь Альцгеймера.",8.3,"Iran, France, Australia",Drama
Убить пересмешника,1962,2h 9m,"Овдовевший адвокат в эпохе депрессии Алабамы защищает чернокожих от ложного обвинения в изнасиловании, обучая своих маленьких детей о печальной реальности предрассудков.",8.3,United States,"Crime, Drama"
Оппенгеймер,2023,3h 0m,"Драматизация истории жизни Дж. Роберта Оппенгеймера, физика, у которого была большая рука в развитии атомных бомб, которые положили конец Второй мировой войне.",8.3,"United States, United Kingdom","Biography, Drama, History"
Крепкий орешек,1988,2h 12m,"Полицейский из Нью -Йорка пытается спасти свою отчужденную жену и несколько других, взятых террористов во время рождественской вечеринки на Накатоми Плаза в Лос -Анджелесе.",8.2,United States,"Action, Thriller"
Афера,1973,2h 9m,"Два сбора объединяются, чтобы снять Ultimate Con.",8.3,United States,"Comedy, Crime, Drama"
Звёздочки на земле,2007,2h 42m,"Считается, что молодой мальчик не является чем -то иным, как ленивым нарушителем нарушителя, пока у нового учителя искусства не будет терпения и сострадания, чтобы обнаружить реальную проблему, стоящую за его борьбой в школе.",8.3,India,"Drama, Family"
Индиана Джонс и последний крестовый поход,1989,2h 7m,"В 1938 году, после того, как его отец пропал без вести, преследуя Святой Грааль, Индиана Джонс снова оказывается против нацистов, чтобы помешать им получить свои силы.",8.2,United States,"Action, Adventure"
Метрополис,1927,2h 33m,"В футуристическом городе, резко разделенном между рабочим классом и планировщиками города, сын вдохновителя города влюбляется в пророка рабочего класса, который предсказывает приход спасителя, чтобы опосредовать их различия.",8.3,Germany,"Drama, Sci-Fi"
Большой куш,2000,1h 44m,"Ноблезные боксерские промоутеры, жестокие букмекеры, русский гангстер, некомпетентные грабители -любители и предположительно еврейские ювелиры борются за то, чтобы выследить бесценный украденный бриллиант.",8.2,"United Kingdom, United States","Comedy, Crime"
1917,2019,1h 59m,"6 апреля 1917 года. Поскольку пехотный батальон собирается, чтобы вести войну глубоко на территории противника, два солдата назначаются для участия в гонке со временем и донести послание, которое остановит 1600 человек не выйти прямо в смертельную ловушку.",8.2,"United Kingdom, United States, India, Spain, Canada","Action, Drama, War"
Секреты Лос-Анджелеса,1997,2h 18m,"По мере роста коррупции в 1950 -х годах Лос -Анджелеса, три полицейских - один из проливных, один жестокий и один неряшливый - расследуйте серию убийств со своим собственным брендом справедливости.",8.2,United States,"Crime, Drama, Mystery"
Похитители велосипедов,1948,1h 29m,"В послевоенной Италии похищен велосипед рабочего класса, угрожая его усилиям по поиску работы. Он и его сын решили найти это.",8.2,Italy,Drama
Бункер,2004,2h 36m,"Траудл Юнге, финальный секретарь Адольфа Гитлера, рассказывает о последних днях нацистского диктатора в его Берлинском бункере в конце Второй мировой войны.",8.2,"Germany, Austria, Italy","Biography, Drama, History"
